artist_name,track_title,url_has_any,paid_has_any,direct_has_any,bandcamp_url,discogs_url,spotify_url,soundcloud_url,youtube_url,apple_music_url,other_url,weathervane_url,mix_rescue_url
Allegria,Mendelssohn Movement 1,0,0,0,,,,,,,,,
Amadeus Redux,Mozart Allegro,0,0,0,,,,,,,,,
Amadeus Redux,Schubert Movement 2,0,0,0,,,,,,,,,
Amadeus Redux,Schubert Movement 3,0,0,0,,,,,,,,,
Barefoot Sisters,Red Jetta,0,0,0,,,,,,,,,
Caitlin Michelle Remmel & Benjamin Hood,Don't Hear A Thing,0,0,0,,,,,,,,,
Cameron-Mitchell Ware & Sergi Casanelles,Yes Sir I Can Fly,0,0,0,,,,,,,,,
Chris Jacoby,Booth Shot Lincoln,0,0,0,,,,,,,,,
Chris Jacoby,Pigs Foot,0,0,0,,,,,,,,,
Croque Madame,Oil,0,0,0,,,,,,,,,
Croque Madame,Pilot (Lakelot),0,0,0,,,,,,,,,
Dahka Band,Soldier Man,0,0,0,,,,,,,,,
Declare A String,Mendelssohn Piano Trio 1 Movement 1,0,0,0,,,,,,,,,
Declare a String,Mendelssohn Piano Trio 1 Movement 2,0,0,0,,,,,,,,,
Ethan Hein,1930s Synth and Upright Bass,1,0,0,,,,,,,https://www.ethanhein.com/wp/,,
Ethan Hein,Blues For Nofi,0,0,0,,,,,,,,,
Ethan Hein,Girl On A Bridge,0,0,0,,,,,,,,,
Ethan Hein,Harmonica Figure,1,1,1,https://ethanhein.bandcamp.com/track/harmonica-figure-disquiet0042?from=search&search_item_id=3865976674&search_item_type=t&search_match_part=%3F&search_page_id=4447024171&search_page_no=1&search_rank=1&search_sig=6fa5ae652d33f0bc6d28e264e14b8a4b,,,,,,,,
Falling Sparks,Improvisation 1,0,0,0,,,,,,,,,
Falling Sparks,Improvisation 2,0,0,0,,,,,,,,,
Falling Sparks,Improvisation 3,0,0,0,,,,,,,,,
Falling Sparks,Pak Klong Talad,0,0,0,,,,,,,,,
Family Band,Again,1,1,0,,,,https://soundcloud.com/wvmusic/family-band-again,,,,https://weathervanemusic.org/shakingthrough/familyband,
Fennel Cartwright,Dear Tessie,0,0,0,,,,,,,,,
Fennel Cartwright,Flower Drum Song,0,0,0,,,,,,,,,
Fennel Cartwright,Winter Lake,0,0,0,,,,,,,,,
Filthy Bird,I'd Like To Know,0,0,0,,,,,,,,,
Fruit Cathedral,Keep Me Runnin,0,0,0,,,,,,,,,
Hops 'n Vinyl,Chicken Fried Steak,0,0,0,,,,,,,,,
Hops ’n Vinyl,Honey Brown,0,0,0,,,,,,,,,
Hops ’n Vinyl,Reign Check,0,0,0,,,,,,,,,
Hops ’n Vinyl,Widows Walk,0,0,0,,,,,,,,,
Karachacha,Volamos,0,0,0,,,,,,,,,
Karim Douaidy,Hopscotch,0,0,0,,,,,,,,,
Karim Douaidy,Yatora,0,0,0,,,,,,,,,
Katzn,Charlie Knox,0,0,0,,,,,,,,,
Liz Nelson,I'm Coming Home,0,0,0,,,,,,,,,
Liz Nelson & Jennifer Davies,Coldwar,0,0,0,,,,,,,,,
Liz Nelson & Jennifer Davies,Rainfall,0,0,0,,,,,,,,,
Matthew Entwistle,An Evening With Oliver,0,0,0,,,,,,,,,
Matthew Entwistle,Dont You Ever,0,0,0,,,,,,,,,
Matthew Entwistle,Fairer Hopes,0,0,0,,,,,,,,,
Matthew Entwistle,Impressions of Saturn,0,0,0,,,,,,,,,
Matthew Entwistle,Lontano,0,0,0,,,,,,,,,
Matthew Entwistle,The Arch,0,0,0,,,,,,,,,
Matthew Entwistle,The Flaxen Field,0,0,0,,,,,,,,,
Matthew Entwistle,Return To Venezia,0,0,0,,,,,,,,,
Michael Kropf,All Good Things,0,0,0,,,,,,,,,
Midnight Blue,Stars Are Screaming,0,0,0,,,,,,,,,
Music Delta,Bebop Jazz,0,0,0,,,,,,,,,
