artist_name,track_title,track_key,url_has_any,paid_has_any,direct_has_any,bandcamp_url,discogs_url,spotify_url,soundcloud_url,apple_music_url,youtube_url,other_url,weathervane_url,mix_rescue_url
Andy Bennett,Baby Let Me Hold You Tonight,Andy Bennett - Baby Let Me Hold You Tonight,1,1,0,,,https://open.spotify.com/track/4MaxuqAuLi4NXBFv1n5oPi,,,,,,
Andy Bennett,End Of The Affair,,1,1,0,,,,,,,,,
Andy Bennett,Grace,Andy Bennett - Grace,1,1,0,,,https://open.spotify.com/track/7IUbJfdCOQLh5lgfb1JsVJ?si=fc2eb9de919c46c3,,,,,,
Andy Bennett,Let You Down Again,Andy Bennett - Let You Down Again,1,1,0,,,,,,,,,
Battlestar,Distant Eyes,Battlestar - Distant Eyes,1,1,0,,,,,,,,,
Battlestar,Fixed,Battlestar - Fixed,1,1,0,,,,,,,,,
Battlestar,Invasion,Battlestar - Invasion,1,1,0,,,,,,,,,
Battlestar,Never Go Back,Battlestar - Never Go Back,1,1,1,,,,,,,,,
Battlestar,This Town,Battlestar - This Town,1,1,0,,,,,,,,,
Ben James,1973,Ben James - 1973,1,1,0,,,,,,,,,
Ben James,Home,,0,0,0,,,,,,,,,
Ben James,Songbird,,1,1,0,,,https://open.spotify.com/track/0pY37XLyt6r0iYUU09oDUI?si=116e54efb46d4a0d,,,,,,
Ben James,The Bench,,1,1,0,,,,,,,,,
Ben James,We Were Young,,1,1,0,,,,,,,,,
Ben James,Yesterday,Ben James - Yesterday,1,1,0,,,,,,,,,
Calculus,Enouement,,1,1,0,,,,,,,,,
Centenary,At Night,,1,1,0,,,,,,,,,
Centenary,By Now,Centenary - By Now,1,1,0,,,,,,,,,
Centenary,Here I Stay,,1,1,0,,,,,,,,,
Centenary,Know Without Knowing,Centenary - Know Without Knowing,1,1,0,,,,,,,,,
Centenary,Sick Of Waiting,Centenary - Sick Of Waiting,1,1,0,,,,,,,,,
Centenary,Stay or Leave,,1,1,0,,,,,,,,,
Centenary,What It Takes,,1,1,0,,,,,,,,,
Drawing Hands,Love You And Leave You,Drawing Hands - Love You And Leave You,1,1,0,,,,,,,,,
Drawing Hands,Nature Of,Drawing Hands - Nature Of,1,1,0,,,,,,,,,
Evolving Habits,Mountains Of Madness,Evolving Habits - Mountains Of Madness,1,1,0,,,,,,,,,
Fake Eyes,I'm A Mess,Fake Eyes - I'm A Mess,1,1,0,,,,,,,,,
Firefly,A Million Things,Firefly - A Million Things,1,1,0,,,,,,,,,
Firefly,Aarons House,,1,1,0,,,,,,,,,
Firefly,Alone At Christmas,Firefly - Alone At Christmas,1,1,0,,,,,,,,,
Firefly,Ancient Voices,Firefly - Ancient Voices,1,1,0,,,,,,,,,
Firefly,Angel In Waiting,Firefly - Angel In Waiting,1,1,0,,,,,,,,,
Firefly,Any Human Heart,,1,1,0,,,,,,,,,
Firefly,Best Of Times,Firefly - Best Of Times,1,1,0,,,,,,,,,
Firefly,Big Life,,1,1,0,,,,,,,,,
Firefly,Black Coffee,Firefly - Black Coffee,1,1,0,,,,,,,,,
Firefly,Closer,,1,1,0,,,,,,,,,
Firefly,Coming Home To You,Firefly - Coming Home To You,1,1,0,,,,,,,,,
Firefly,Country Heart,,1,1,0,,,,,,,,,
Firefly,Cruising,Firefly - Cruising,1,1,0,,,,,,,,,
Firefly,East To West,Firefly - East To West,1,1,0,,,,,,,,,
Firefly,Electric,Firefly - Electric,1,1,0,,,,,,,,,
Firefly,Falling In Falling Out,,1,1,0,,,,,,,,,
Firefly,Find Your Smile,,1,1,0,,,,,,,,,
Firefly,Ghetto In My Heart,,1,1,0,,,,,,,,,
Firefly,Gloria's Swan Song,Firefly - Gloria's Swan Song,1,1,0,,,,,,,,,
Firefly,Glory Days,Firefly - Glory Days,1,1,0,,,,,,,,,
Firefly,Golden Times,Firefly - Golden Times,1,1,0,,,,,,,,,
Firefly,Hard To Love You,Firefly - Hard To Love You,1,1,0,,,,,,,,,
Firefly,Home,,1,1,0,,https://www.discogs.com/Firefly-Home/release/5843009,,,,,,,
Firefly,I'm Feeling Fine,,1,1,0,,,,,,,,,
Firefly,Incommunicado,Firefly - Incommunicado,1,1,0,,,,,,,,,
Firefly,Island Time,Firefly - Island Time,1,1,0,,,,,,,,,
Firefly,Last Days Of The Empire,Firefly - Last Days Of The Empire,1,1,0,,,,,,,,,
Firefly,Let's Get Lost,Firefly - Let's Get Lost,1,1,0,,,,,,,,,
Firefly,Life On Earth,Firefly - Life On Earth,0,0,0,,,,,,,,,
Firefly,Live Together,Firefly - Live Together,1,1,0,,,,,,,,,
Firefly,Make My Day,,1,1,0,,,,,,,,,
Firefly,Music Makes Me,Firefly - Music Makes Me,1,1,0,,,,,,,,,
Firefly,Never Say Never,Firefly - Never Say Never,1,1,0,,,,,,,,,
Firefly,Not A Day Goes By,Firefly - Not A Day Goes By,1,1,0,,,,,,,,,
Firefly,Nothing Lasts Forever,,1,1,0,,,,,,,,,
Firefly,Old Blue Jeans,,1,1,0,,,,,,,,,
Firefly,Perfect Moment,,1,1,0,,,,,,,,,
Firefly,Places,Firefly - Places,1,1,0,,,,,,,,,
Firefly,Power Of Two,Firefly - Power Of Two,1,1,0,,,,,,,,,
Firefly,Remember Me To David,,1,1,0,,,,,,,,,
Firefly,Rock n Roll Junkie,,1,1,0,,,,,,,,,
Firefly,Search And You Shall Find,Firefly - Search And You Shall Find,1,1,0,,,,,,,,,
Firefly,Seize The Day,Firefly - Seize The Day,1,1,0,,,,,,,,,
Firefly,Send The Elevator Down,,1,1,0,,,,,,,,,
Firefly,Share It With You,Firefly - Share It With You,1,1,0,,,,,,,,,
Firefly,So Much More,,1,1,0,,,,,,,,,
Firefly,Song For Anyone,Firefly - Song For Anyone,1,1,0,,,,,,,,,
Firefly,Straight To The Heart,Firefly - Straight To The Heart,1,1,0,,,,,,,,,
Firefly,The Best In Me,Firefly - The Best In Me,1,1,0,,,,,,,,,
Firefly,The Black Dog,Firefly - The Black Dog,1,1,0,,,,,,,,,
Firefly,The Last To Know,,1,1,0,,,,,,,,,
Firefly,The Long Way,,1,1,0,,,,,,,,,
Firefly,Up Close And Personal,Firefly - Up Close And Personal,1,1,0,,,,,,,,,
Firefly,Up On The Hill,Firefly - Up On The Hill,1,1,0,,,,,,,,,
Firefly,We Stand Together,,1,1,0,,,,,,,,,
Firefly,We're On Again,Firefly - We're On Again,1,1,0,,,,,,,,,
Firefly,Where The Lightning Lives,Firefly - Where The Lightning Lives,1,1,0,,,,,,,,,
Firefly,Write It Down,,1,1,0,,,,,,,,,
Firefly,You Can Bring The Sunshine,Firefly - You Can Bring The Sunshine,1,1,0,,,,,,,,,
Firefly,You Gotta Have A Plan,Firefly - You Gotta Have A Plan,1,1,0,,,,,,,,,
FNDEF,Bad News,FNDEF - Bad News,1,1,0,,,,,,,,,
FNDEF,Can You Hear Me,FNDEF - Can You Hear Me,1,1,0,,,,,,,,,
FNDEF,Lifes Changes,,1,1,0,,,,,,,,,
FNDEF,Rain,,1,1,0,,,,,,,,,
FNDEF,Time To Show,FNDEF - Time To Show,1,1,0,,,,,,,,,
FNDEF,You're The One,FNDEF - You're The One,1,1,0,,,,,,,,,
Frank O Pinions,Reluctant Auteur,Frank O Pinions - Reluctant Auteur,1,1,0,,,,,,,,,
Frank O Pinions,What Are The Odds,Frank O Pinions - What Are The Odds,1,1,0,,,,,,,,,
Frank Sermon,4 Sets,Frank Sermon - 4 Sets,1,1,0,,,,,,,,,
Frank Sermon,Creatures Of The Night,Frank Sermon - Creatures Of The Night,1,1,0,,,,,,,,,
Frank Sermon,Diamond Eyes,,1,1,0,,,,,,,,,
Frank Sermon,Divisions,,1,1,0,,,,,,,,,
Frank Sermon,Echoing,,1,1,0,,,,,,,,,
Frank Sermon,Fine Line,Frank Sermon - Fine Line,1,1,0,,,,,,,,,
Frank Sermon,Salvage,Frank Sermon - Salvage,1,1,0,,,,,,,,,
Frank Sermon,Unassuming Truth,#REF!,1,1,0,,,,,,,,,
Fröst,Black Mountain,,1,1,0,,,,,,,,,
Fröst,Crackling On The Wire,Fröst - Crackling On The Wire,1,1,0,,https://www.discogs.com/release/10166061-Fr%C3%B6st-Crackling-On-The-Wire,,,,,,,
Fröst,Éternelle,Fröst - Éternelle,1,1,0,,https://www.discogs.com/Fr%C3%B6st-Keratin/release/10331245,,,,,,,
Fröst,Keratin,,1,1,0,,https://www.discogs.com/Fr%C3%B6st-La-V%C3%A9nus-DArgent/release/12667645,,,,,,,
Fröst,La Venus D'Argent,,1,1,0,,https://www.discogs.com/Fr%C3%B6st-Record-Still-Spinning/release/12667653,,,,,,,
Fröst,Record Still Spinning,Fröst - Record Still Spinning,1,1,0,,,,,,,,,
Fröst,Scars On The Lining,Fröst - Scars On The Lining,1,1,0,,,,,,,,,
Fröst,Trail Away,Fröst - Trail Away,1,1,0,,,,,,,,,
Greenbacks,Thinking It's a Sign,,1,1,0,,,,,,,,,
Halos On Hooligans,Doors,,1,1,0,,,,,,,,,
Halos On Hooligans,Perpetual Fright,Halos On Hooligans - Perpetual Fright,1,1,0,,,,,,,,,
Halos On Hooligans,Scream And Shout,Halos On Hooligans - Scream And Shout,1,1,0,,,,,,,,,
Holy Magick,Below,Holy Magick - Below,1,1,0,,,,,,,,,
Holy Magick,Can I Get A Minute,Holy Magick - Can I Get A Minute,1,1,0,,,,,,,,,
Holy Magick,Crystal Observatory,,1,1,0,,,,,,,,,
Holy Magick,Darkest Heart,Holy Magick - Darkest Heart,1,1,0,,,,,,,,,
Holy Magick,Even Though,Holy Magick - Even Though,1,1,0,,https://www.discogs.com/Holy-Magick-Even-Though/release/13884888,,,,,,,
Holy Magick,Hold Your Own,Holy Magick - Hold Your Own,1,1,0,,,,,,,,,
Holy Magick,Hungry Mind,Holy Magick - Hungry Mind,1,1,0,,,,,,,,,
Holy Magick,Is It All On Me,,1,1,0,,,,,,,,,
Holy Magick,It's Your Money,Holy Magick - It's Your Money,1,1,0,,https://www.discogs.com/Holy-Magick-Its-Your-Money-Trivia/release/13678921,,,,,,,
Holy Magick,Lifeboat,,1,1,0,,,,,,,,,
Holy Magick,Old Friends,,1,1,0,,,,,,,,,
Holy Magick,Panic!,Holy Magick - Panic!,1,1,0,,https://www.discogs.com/Holy-Magick-Panic/release/13226537,,,,,,,
Holy Magick,Stolen Car,,1,1,0,,,,,,,,,
Holy Magick,Take Another Line,,1,1,0,,,,,,,,,
Holy Magick,The Death Of Me,,1,1,0,,,,,,,,,
Holy Magick,Too Much Information,,1,1,0,,,,,,,,,
Holy Magick,Wake Up So,#REF!,1,1,0,,,,,,,,,
Horizon,Get It Together,,1,1,0,,,,,,,,,
Horizon,Too Late,Horizon - Too Late,0,0,0,,,,,,,,,
Horizon,Up In The Air,Horizon - Up In The Air,1,1,0,,,,,,,,,
HoundedSoul,Dear You,HoundedSoul - Dear You,1,1,0,,,,,,,,,
